location_name,sex_name,cause_name,measure_name,count_1990_reconstructed,count_2023_reconstructed,observed_change,population_size_effect,age_structure_effect,age_specific_rate_effect,decomposition_error,population_size_pct,age_structure_pct,age_specific_rate_pct
Eastern Sub-Saharan Africa,Both,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),1128874.963273212,2619639.418651654,1490764.4553784418,1532969.1881123555,118802.38441672803,-161007.11715064172,0,102.831079892041,7.969225720945242,-10.800305612986248
Eastern Sub-Saharan Africa,Both,Diabetes mellitus,Deaths,27726.366126006094,66762.95381143321,39036.58768542712,38418.79964369676,3799.426857593345,-3181.638815862982,0,98.41741279563483,9.732989184942827,-8.150401980577648
Eastern Sub-Saharan Africa,Both,Diabetes mellitus,Incidence,165396.6666001347,475929.508966382,310532.8423662473,251262.42737677638,24081.38041887933,35189.03457059164,0,80.91331836663947,7.754857822889268,11.331823810471274
Eastern Sub-Saharan Africa,Both,Diabetes mellitus,Prevalence,2634294.5986280553,7960762.223534449,5326467.624906394,4109043.829511346,453871.41446216934,763552.3809328784,0,77.1438806892881,8.521058352816809,14.335060957895092
Eastern Sub-Saharan Africa,Both,Diabetes mellitus,YLDs (Years Lived with Disability),239768.3828912542,720672.3862560033,480904.0033647491,372905.4791393467,38856.02935842873,69142.49486697366,0,77.54260237599037,8.079789123518227,14.37760850049141
Eastern Sub-Saharan Africa,Both,Diabetes mellitus,YLLs (Years of Life Lost),889106.5803819541,1898967.0323956339,1009860.4520136798,1161595.2659787405,78451.07242743543,-230185.8863924963,-2.3283064365386963e-10,115.02532490132658,7.768506259553247,-22.793831160879854
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),186837.39542431882,207201.81071715656,20364.415292837744,186069.71770250224,-15865.496384956983,-149839.80602470748,2.9103830456733704e-11,913.7002709227983,-77.90793969192403,-735.7923312308741
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 1,Deaths,2485.6592352576913,2887.9256212979108,402.26638604021946,2525.8725294075425,-128.59373612044394,-1995.0124072468789,4.547473508864641e-13,627.91041386068,-31.967308376491307,-495.94310548418855
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 1,Incidence,1831.942707768739,7866.650272350685,6034.707564581946,3561.709451975455,-84.63541041377259,2557.633523020264,0,59.020415055061456,-1.402477411009985,42.38206235594854
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 1,Prevalence,34102.06847318502,126572.49298930004,92470.42451611502,59999.93539342346,5482.154403490805,26988.33471920074,-1.4551915228366852e-11,64.88554119589571,5.928548973553612,29.18590983055066
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 1,YLDs (Years Lived with Disability),2555.4041526960073,8915.393936252796,6359.989783556789,4330.880964085987,452.80451019858737,1576.3043092722146,0,68.09572202903706,7.119579207018144,24.784698763944792
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 1,YLLs (Years of Life Lost),184281.9912716244,198286.41678089945,14004.425509275054,181993.88889136302,-16547.65768462519,-151441.80569746275,2.9103830456733704e-11,1299.5455527313811,-118.16020352756182,-1081.385349203819
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),942037.567848893,2412437.6079344964,1470400.0400856035,1346899.4704098527,134667.88080168466,-11167.311125933853,0,91.60088640445352,9.158587944124687,-0.7594743485782085
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 2,Deaths,25240.706890748428,63875.02819013528,38634.32129938685,40461.849716953395,-618.619925739049,-1208.9084918275003,0,104.73032359855522,-1.6012185666346024,-3.129105031920637
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 2,Incidence,163564.7238923658,468062.8586940249,304498.13480165915,247700.71792479907,24166.015829292824,32631.40104756724,0,81.34720368193513,7.936342810452299,10.716453507612565
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 2,Prevalence,2600192.5301548685,7834189.73054515,5233997.200390281,4049043.8941179216,448389.2600586784,736564.0462136822,9.313225746154785e-10,77.36045204258035,8.566860907477054,14.072687049942616
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 2,YLDs (Years Lived with Disability),237212.97873855743,711756.9923197496,474544.0135811921,368574.59817526,38403.22484823023,67566.19055770194,5.820766091346741e-11,77.66921247067818,8.092658162183229,14.238129367138606
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 2,YLLs (Years of Life Lost),704824.5891103299,1700680.615614733,995856.0265044031,1104935.2665271936,-29177.289768834657,-79901.9502539559,0,110.95331424620427,-2.9298702816762687,-8.023443964528001
Eastern Sub-Saharan Africa,Female,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),487254.1362483408,1117980.8119922678,630726.675743927,659451.485982166,72371.71698856924,-101096.5272268082,0,104.55424058358699,11.474339007971802,-16.028579591558778
Eastern Sub-Saharan Africa,Female,Diabetes mellitus,Deaths,12167.43995990073,28053.25684255751,15885.816882656778,16544.590042522,2357.1506144158857,-3015.923774281108,-1.8189894035458565e-12,104.14692656179633,14.838082497282763,-18.98500905907911
Eastern Sub-Saharan Africa,Female,Diabetes mellitus,Incidence,75037.4466861887,223906.6552341075,148869.20854791877,116413.82331925268,13978.615324488579,18476.769904177527,2.9103830456733704e-11,78.19872521306567,9.389863398104298,12.411411388830036
Eastern Sub-Saharan Africa,Female,Diabetes mellitus,Prevalence,1266557.3059917619,3942058.583868023,2675501.277876261,2009923.7384696295,265733.3362170712,399844.20318956004,0,75.12325839982597,9.932095283019375,14.94464631715464
Eastern Sub-Saharan Africa,Female,Diabetes mellitus,YLDs (Years Lived with Disability),113932.88123661876,354612.46218804625,240679.5809514275,180800.42340697095,23839.262430782142,36039.89511367437,-2.9103830456733704e-11,75.12079865365023,9.904979199541335,14.974222146808426
Eastern Sub-Saharan Africa,Female,Diabetes mellitus,YLLs (Years of Life Lost),373321.2550117189,763368.3498042201,390047.09479250124,479265.8765455547,47937.18819948137,-137155.9699525348,5.820766091346741e-11,122.87384855424096,12.290102615681109,-35.16395116992207
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),67913.22475157896,71287.33596384038,3374.111212261414,66636.38741759423,-4794.6597571055,-58467.61644822732,-7.275957614183426e-12,1974.93156643562,-142.10141443120952,-1732.8301520044106
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 1,Deaths,917.791891661401,992.4519701977117,74.66007853631072,913.9998470304618,-34.01895307608322,-805.3208154180678,0,1224.2149552333253,-45.565118257327036,-1078.6498369759981
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 1,Incidence,937.4208621459486,3957.43645558723,3020.0155934412815,1805.2164586985518,-49.18874912268018,1263.9878838654092,-9.094947017729282e-13,59.77507078503272,-1.6287581173258125,41.85368733229308
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 1,Prevalence,17659.784016202633,65389.19687994712,47729.41286374449,31070.48278307967,2815.9716950684565,13842.95838559636,0,65.09714014663895,5.899866614968321,29.00299323839272
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 1,YLDs (Years Lived with Disability),1329.2357154913602,4636.189796902399,3306.954081411039,2255.515268948979,243.28199978783297,808.1568126742263,-9.094947017729282e-13,68.20521886371573,7.356679101030255,24.438102035254
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 1,YLLs (Years of Life Lost),66583.98903608756,66651.14616694096,67.15713085340394,64469.084826306964,-5116.543013045371,-59285.38468240819,0,95997.37809978114,-7618.763559470963,-88278.61454031018
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),419340.91149676207,1046693.4760284286,627352.5645316666,592815.0985645723,77166.3767456748,-42628.9107785805,0,94.4947278580303,12.300320602543694,-6.795048460573997
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 2,Deaths,11249.648068239341,27060.804872359804,15811.156804120463,17572.450164456368,481.9981343636152,-2243.291494699521,-1.8189894035458565e-12,111.13956038862952,3.04846849813041,-14.18802888675994
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 2,Incidence,74100.02582404266,219949.21877851812,145849.19295447547,114608.60686055345,14027.804073611152,17212.782020310846,0,78.58021325927167,9.618019674603007,11.801767066125313
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 2,Prevalence,1248897.5219755569,3876669.3869880713,2627771.8650125144,1978853.2556865474,262917.3645220023,386001.2448039647,0,75.30536733549826,10.005334482137405,14.689298182364338
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 2,YLDs (Years Lived with Disability),112603.64552112848,349976.2723911401,237372.62687001162,178544.9081380217,23595.980430994237,35231.738300995676,0,75.21714297571272,9.940480813702125,14.842376210585158
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 2,YLLs (Years of Life Lost),306737.26597563113,696717.2036372795,389979.9376616483,466711.6971296954,2231.0211924534815,-78962.78066050058,0,119.6758222815607,0.5720861452081016,-20.24790842676879
