location_name,measure_name,year,Diabetes mellitus,Diabetes mellitus type 1,Diabetes mellitus type 2,t1dm_share_pct,t2dm_share_pct,component_sum_difference_pct
Southern Sub-Saharan Africa,YLLs (Years of Life Lost),2023,938047.386173917,21637.8675331934,916409.518640723,2.306692375259353,97.69330762474058,-6.205194084158508e-14
Southern Sub-Saharan Africa,Prevalence,2023,4977564.6066954,15032.1618483526,4962532.44484704,0.3019983272167398,99.69800167278312,-1.4968325246651618e-13
Southern Sub-Saharan Africa,Incidence,2023,289541.629278456,605.25278193162,288936.376496524,0.20903825934803333,99.79096174065185,-1.2062029434286634e-13
Sub-Saharan Africa,Deaths,1990,67946.6124362124,5191.93221646394,62754.6802197485,7.6411936229169255,92.35880637708314,6.425006945870059e-14
Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),1990,2903535.164924,402374.082464795,2501161.0824592,13.858075057111531,86.1419249428883,-1.6037735410720537e-13
Sub-Saharan Africa,YLDs (Years Lived with Disability),1990,821286.573170817,4732.41302455079,816554.160146266,0.5762194560517319,99.42378054394824,-2.8349500802741587e-14
Sub-Saharan Africa,YLLs (Years of Life Lost),1990,2082248.59175318,397641.669440245,1684606.92231294,19.096743348278352,80.9032566517219,2.4599724454957405e-13
Sub-Saharan Africa,Prevalence,1990,9489399.92330011,64371.799854326,9425028.12344578,0.6783547998253144,99.32164520017463,-5.888607807509883e-14
Sub-Saharan Africa,Incidence,1990,557276.430064818,3372.68081212325,553903.749252695,0.6052078699490244,99.39479213005102,4.178009890473721e-14
Sub-Saharan Africa,Deaths,2023,190335.971331511,6663.38767253092,183672.58365898,3.500855684775001,96.49914431522495,-4.587230188776528e-14
Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),2023,7998941.46638701,501641.928202724,7497299.53818429,6.271353907397792,93.72864609260226,4.657229102270911e-14
Sub-Saharan Africa,YLDs (Years Lived with Disability),2023,2721495.82597614,15469.0492763115,2706026.77669983,0.5684024619351785,99.43159753806486,5.1331471780676013e-14
Sub-Saharan Africa,YLLs (Years of Life Lost),2023,5277445.64041087,486172.878926413,4791272.76148446,9.212276393785128,90.78772360621493,5.294166750770954e-14
Sub-Saharan Africa,Prevalence,2023,31820018.5902387,219088.814119529,31600929.7761192,0.6885250978034878,99.3114749021966,8.19516557329509e-14
Sub-Saharan Africa,Incidence,2023,1783394.43428805,12663.8239474488,1770730.61034061,0.7100966395302413,99.28990336047023,4.830526354441758e-13
Western Sub-Saharan Africa,Deaths,1990,23215.1061046179,1908.48846811926,21306.6176364986,8.220890568058302,91.77910943194154,-1.7237813472689058e-13
Western Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),1990,1018351.26788985,157497.768598229,860853.499291618,15.465956940828866,84.53404305917084,-2.8579362911817695e-13
Western Sub-Saharan Africa,YLDs (Years Lived with Disability),1990,303643.734336497,1249.11685474821,302394.617481749,0.41137580443663724,99.58862419556344,7.667888954225794e-14
Western Sub-Saharan Africa,YLLs (Years of Life Lost),1990,714707.533553349,156248.651743481,558458.881809869,21.861900764729786,78.13809923527035,1.4659673324462102e-13
Western Sub-Saharan Africa,Prevalence,1990,3679230.45198065,17488.7704394041,3661741.68154124,0.4753377280292221,99.52466227197061,-1.6453431808659231e-13
Western Sub-Saharan Africa,Incidence,1990,205603.120831537,897.918329200318,204705.202502337,0.43672407576733063,99.56327592423281,1.5570879164153468e-13
Western Sub-Saharan Africa,Deaths,2023,64036.3596737086,2482.96784001099,61553.3918336976,3.877434402365664,96.12256559763432,-1.1362228663929994e-14
Western Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),2023,2920675.5742939,206374.121028335,2714301.45326557,7.065972093741629,92.93402790625856,1.753797719085417e-13
Western Sub-Saharan Africa,YLDs (Years Lived with Disability),2023,1094467.53123161,3885.04001914826,1090582.49121246,0.3549707879206251,99.64502921207921,-1.7018733731962907e-13
Western Sub-Saharan Africa,YLLs (Years of Life Lost),2023,1826208.04306229,202489.081009187,1623718.96205311,11.087952535223847,88.91204746477653,3.824821238824125e-13
Western Sub-Saharan Africa,Prevalence,2023,13551581.0952586,55804.4323520093,13495776.6629066,0.41179277871520137,99.58820722128486,8.246912900293187e-14
Western Sub-Saharan Africa,Incidence,2023,729080.891467276,2989.69295293087,726091.198514345,0.4100632711569371,99.58993672884304,-1.5967408169572086e-14
