location_name,year,yll_count,yld_count,yll_to_yld_ratio
Central Sub-Saharan Africa,2023,614223.178779035,448959.963566432,1.3681023445827798
Eastern Sub-Saharan Africa,1990,889106.58038239,239768.382891257,3.708189418725944
Eastern Sub-Saharan Africa,1991,914614.236676961,247192.717711715,3.7000047782298218
Eastern Sub-Saharan Africa,1992,940114.14702577,254588.152679976,3.692686156560939
Eastern Sub-Saharan Africa,1993,963676.180657522,262016.790349115,3.6779176608243533
Eastern Sub-Saharan Africa,1994,984535.972737412,268989.770214698,3.66012421941396
Eastern Sub-Saharan Africa,1995,997784.90930143,275341.580028245,3.623807596364761
Eastern Sub-Saharan Africa,1996,1015853.1354356,282702.34023496,3.5933665585905743
Eastern Sub-Saharan Africa,1997,1041452.02144075,291807.602666597,3.5689680869303966
Eastern Sub-Saharan Africa,1998,1065747.20189418,301075.314497868,3.5398026692146054
Eastern Sub-Saharan Africa,1999,1082197.77362821,309944.897097308,3.4915811931836744
Eastern Sub-Saharan Africa,2000,1102982.83738581,318749.428957039,3.4603445125998005
Eastern Sub-Saharan Africa,2001,1119182.22215553,328254.141429386,3.4094991681812137
Eastern Sub-Saharan Africa,2002,1140348.91046211,338631.857958861,3.3675180986682194
Eastern Sub-Saharan Africa,2003,1158107.1246789,349702.366656575,3.3116937004210167
Eastern Sub-Saharan Africa,2004,1181881.38689067,361322.602028122,3.2709865927476174
Eastern Sub-Saharan Africa,2005,1205959.85650005,373028.736543844,3.232887277461283
Eastern Sub-Saharan Africa,2006,1232682.17450588,385453.476095073,3.19800507961131
Eastern Sub-Saharan Africa,2007,1263964.76171641,398866.346482094,3.168892970951993
Eastern Sub-Saharan Africa,2008,1298719.46859729,413463.678108061,3.1410726923825765
Eastern Sub-Saharan Africa,2009,1331814.76666853,428423.864686218,3.1086381419110833
Eastern Sub-Saharan Africa,2010,1374879.2842106,443426.552105346,3.1005795157795744
Eastern Sub-Saharan Africa,2011,1415964.47388333,458720.661357016,3.086768469714304
Eastern Sub-Saharan Africa,2012,1453148.99223452,474425.302941441,3.062966884828831
Eastern Sub-Saharan Africa,2013,1491335.15724973,491161.212976489,3.036345537572238
Eastern Sub-Saharan Africa,2014,1531287.55332767,509025.159990018,3.008274784212432
Eastern Sub-Saharan Africa,2015,1574377.8248347,527936.413249023,2.982135320323282
Eastern Sub-Saharan Africa,2016,1616268.73408231,549057.89154487,2.943712783245236
Eastern Sub-Saharan Africa,2017,1664461.22436773,572576.106677334,2.9069694053889505
Eastern Sub-Saharan Africa,2018,1711738.82947322,597672.504306559,2.8640079929044764
Eastern Sub-Saharan Africa,2019,1764546.46354195,623736.483003841,2.8289935118819782
Eastern Sub-Saharan Africa,2020,1795721.21006645,646917.140863263,2.77581330998618
Eastern Sub-Saharan Africa,2021,1818977.93927223,667900.087179479,2.723428210578197
Eastern Sub-Saharan Africa,2022,1828190.79795347,692018.318733309,2.6418242819060698
Eastern Sub-Saharan Africa,2023,1898967.03239563,720672.38625602,2.634993470834914
Southern Sub-Saharan Africa,1990,261284.070597928,150683.33298882,1.7339944996923715
Southern Sub-Saharan Africa,1991,271720.068322356,156015.472095947,1.7416225754536223
Southern Sub-Saharan Africa,1992,289627.146292156,161452.609250744,1.7938833422156129
Southern Sub-Saharan Africa,1993,305375.910080033,167025.501464755,1.8283190734468298
Southern Sub-Saharan Africa,1994,335939.621478657,172651.368518103,1.9457686571620354
Southern Sub-Saharan Africa,1995,348324.748303683,178306.986113914,1.953511502242266
Southern Sub-Saharan Africa,1996,389804.529978312,184223.399464354,2.1159338667710155
Southern Sub-Saharan Africa,1997,428023.365652056,190314.10943273,2.249036432074673
Southern Sub-Saharan Africa,1998,445459.073135246,196594.39245054199,2.2658788360268813
Southern Sub-Saharan Africa,1999,437392.622385177,202882.998725825,2.1558860285590864
Southern Sub-Saharan Africa,2000,445828.141996421,209185.22626907,2.1312601752427907
Southern Sub-Saharan Africa,2001,453330.351747689,215876.722877892,2.0999501275740124
Southern Sub-Saharan Africa,2002,469524.808184153,222925.587947508,2.1061952219442452
Southern Sub-Saharan Africa,2003,486241.05218556,230103.296933339,2.113142482814682
Southern Sub-Saharan Africa,2004,483966.134563885,237389.267290321,2.0387026763598657
Southern Sub-Saharan Africa,2005,503079.776176371,244602.519701543,2.0567236052605447
Southern Sub-Saharan Africa,2006,538007.962715194,252793.030851326,2.128254726419298
Southern Sub-Saharan Africa,2007,565859.990981676,262350.394067625,2.156886377063404
Southern Sub-Saharan Africa,2008,603172.125503325,272289.708615411,2.2151851738005304
Southern Sub-Saharan Africa,2009,650035.343909236,282228.997336941,2.3032195488161937
Southern Sub-Saharan Africa,2010,683967.63198368,291446.084784316,2.346806725812936
Southern Sub-Saharan Africa,2011,718586.13743313,300615.885373618,2.3903797916069576
Southern Sub-Saharan Africa,2012,743193.257820851,310415.042053698,2.3941921528799104
Southern Sub-Saharan Africa,2013,767242.61401044,320665.322062748,2.392658517219724
Southern Sub-Saharan Africa,2014,800766.109899241,331528.23585837,2.415378309560731
Southern Sub-Saharan Africa,2015,829380.477885451,343090.8113168,2.4173788703411976
Southern Sub-Saharan Africa,2016,845425.903609795,356770.505645378,2.3696631034016296
Southern Sub-Saharan Africa,2017,844782.572508011,372558.266621204,2.267517991667429
Southern Sub-Saharan Africa,2018,862142.946574597,389502.05177298,2.21344905026866
Southern Sub-Saharan Africa,2019,863825.121490657,406948.354123376,2.122689802619936
Southern Sub-Saharan Africa,2020,767814.279209907,421221.833924684,1.8228264001794245
