location_name,measure_name,cause_name,sex_name,metric_name,annual_change_pct,lower_ci,upper_ci,p_value,adjusted_r_squared
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Female,Rate,-2.4164645298632936,-2.4772522695224897,-2.3556389000771505,2.0064765559608362e-38,0.9948645436885019
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Male,Rate,-1.9395688961587831,-2.0186726163473168,-1.8604013127963892,8.531855309243168e-32,0.9866720061566004
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Both,Rate,-0.05931788209021516,-0.12464491041395132,0.006051875699930598,0.07380222240252657,0.06823422410806934
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Female,Rate,-0.2904383807874389,-0.3377888860487066,-0.24306537883135304,7.86251976233559e-14,0.8240713206537331
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Male,Rate,0.13847524548700196,0.055090608865659974,0.2219293738011885,0.0019044841491786526,0.24048766526267484
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Both,Rate,0.45768484487902494,0.44951392879046814,0.46585642561858265,2.2284949560066695e-43,0.997482553913557
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Female,Rate,0.49741649608736616,0.4849036545292673,0.5099308958019577,1.2450351469574506e-38,0.9950154307187993
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Male,Rate,0.4415371717277239,0.43242195315453813,0.45065321759558685,2.3051516465773687e-41,0.9966359096308147
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Both,Rate,0.6956688570708414,0.6434373199949439,0.7479275010653597,1.0673368959795598e-23,0.9572958653722901
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Female,Rate,0.6973499642468184,0.645612659083139,0.749113865192208,7.397241502995257e-24,0.9582621192930995
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Male,Rate,0.6950819206440029,0.6423111424624484,0.7478803686495228,1.5016640287612463e-23,0.956376047073142
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Both,Rate,0.45582982186493926,0.4476068644272191,0.4640534524598561,3.1079329707373955e-43,0.9974296736336522
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Female,Rate,0.495707031991377,0.48292211998304246,0.5084935706838101,2.75696195932254e-38,0.9947615530529073
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Male,Rate,0.43974014161343167,0.4307788170242466,0.44870226581146255,1.525514102399084e-41,0.9967215881297661
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Both,Rate,0.8958754042120542,0.8486450703664605,0.9431278573873714,1.752798420929036e-28,0.9785362595750474
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Female,Rate,0.7578102474427029,0.7106075596831296,0.8050350589267508,3.276942452299919e-26,0.9702433683061835
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Male,Rate,1.0443706904107009,0.9888419776109103,1.0999299356721393,2.238478057614609e-28,0.9782058449492181
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Both,Rate,0.4837230309321816,0.46194626426714347,0.5055045180668571,1.299164899280401e-30,0.9842003468162149
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Female,Rate,0.477598575568039,0.45633684829400334,0.4988648029170317,9.136473851790199e-31,0.9845440210081091
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Male,Rate,0.49073875343361717,0.4683674565763907,0.5131150317087219,1.926717047046074e-30,0.9838065379707038
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Both,Rate,0.8969851716140065,0.8496482029968666,0.9443443593329492,1.8093199252430564e-28,0.9784936687172565
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Female,Rate,0.7586329868595865,0.7112895929496821,0.8059986364367111,3.4751275376911736e-26,0.9701340558647779
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Male,Rate,1.0457201496121948,0.9900903233912794,1.1013806192116338,2.275389457989578e-28,0.9781835699460514
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,Rate,0.8102282946769179,0.7495365579736513,0.8709565922124352,9.779514216585874e-24,0.9575283720843482
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,Rate,0.6764757480852479,0.6070604490302722,0.7459389412315609,1.3614654431999322e-19,0.9229758976903945
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,Rate,0.9468296615074756,0.8859494223556252,1.007746639209528,8.561436996020949e-26,0.9684043207332793
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,Rate,0.5537545833176116,0.46956585679560625,0.6380138559956894,1.068552455786393e-14,0.8445954934377865
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,Rate,0.5339313527803924,0.4481429391732572,0.6197930345604785,4.791172042447047e-14,0.829403473637309
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,Rate,0.5740238683885179,0.491261636413598,0.6568542613849315,2.474560765991321e-15,0.8581101418308188
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,Rate,0.8107068932649897,0.7500055352945179,0.8714448234901306,9.649890631945384e-24,0.9575637320819229
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,Rate,0.6767608559868021,0.6073453434085829,0.7462242628154092,1.3446104110357985e-19,0.9230357027964522
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,Rate,0.9474757782115706,0.8865453933956102,1.008442961906697,8.598257791790466e-26,0.968395852803028
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,Rate,1.3466215234955614,0.9799462368571543,1.7146282701994808,1.4692999793043023e-8,0.6271527075658713
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,Rate,1.1003184282798895,0.7093618005038937,1.4927927608856084,2.221140609072474e-6,0.4930705295754395
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,Rate,1.700784265944999,1.3610856139549377,2.0416213743107647,1.1838658714527722e-11,0.7598614700066189
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,Rate,0.0900544830994443,-0.08449020851137856,0.26490409082824407,0.3013617334664394,0.0031274507140088836
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,Rate,0.025776552082645843,-0.22739306775723112,0.2795885812809873,0.8372012764665416,-0.029868904777898164
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,Rate,0.1300737720438594,2.4627025818624304e-5,0.26029204482143076,0.04995913777647572,0.08715384858601505
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,Rate,1.356304292665289,0.9877348432748123,1.7262188899515252,1.408016367743658e-8,0.6281284549415724
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,Rate,1.1081326518094237,0.7155778324101414,1.5022175154139061,2.1113978473438574e-6,0.4946312682862639
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,Rate,1.71364508764007,1.371842550834712,2.056600103982409,1.1431764981734494e-11,0.7603812602522788
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,Rate,1.1604710516473382,0.8973819954607221,1.424246110286309,2.62154194237389e-10,0.7091234079106786
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,Rate,0.9533470188660242,0.659982905976686,1.2475661140457062,1.7191200565295425e-7,0.5663930341163423
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,Rate,1.425386178878707,1.1919792143738617,1.659331514225837,7.216546186197693e-14,0.8250058948010275
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Both,Rate,-0.09037255417887469,-0.22418651686748614,0.043620872610161676,0.17895336495170608,0.026209863562227875
