location_name,measure_name,cause_name,sex_name,metric_name,value_1990,value_2023,lower_1990,lower_2023,upper_1990,upper_2023,absolute_change,relative_change_pct
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Both,Rate,2717.37987571254,3142.8121777581,2470.82118542281,2876.6786325891,2959.40268169302,3403.59718680496,425.43230204555994,15.65597456020038
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Female,Rate,2534.16799165194,2963.16391193016,2298.79767284552,2711.96477867838,2758.47598583926,3213.21166183842,428.9959202782197,16.928472054394916
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Male,Rate,2911.99187226884,3351.92909976125,2650.6234276248,3073.40088124351,3171.57850675552,3622.45695075715,439.93722749241033,15.10777662815519
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Both,Rate,23.74197541093,31.389712707,16.53860580739,25.45173669698,31.1826175224,40.84994971151,7.647737296070002,32.211882809672375
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Female,Rate,24.13115684556,31.86990386368,16.78015965168,25.81086296954,31.7788098373,41.49086239299,7.7387470181200015,32.0695235112356
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Male,Rate,23.33893648153,30.89062442955,16.27273495673,25.07523781158,30.57914969732,40.22079791033,7.551687948020003,32.356606968771985
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Both,Rate,2693.6379003016,3111.4224650511,2446.03136517078,2837.39756117246,2937.66178381115,3374.89365074273,417.7845647495001,15.51004924242867
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Female,Rate,2510.03683480638,2931.29400806648,2273.34389880634,2682.08087282611,2731.56423814307,3179.96556472214,421.2571732601,16.782908020256016
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Male,Rate,2888.65293578731,3321.0384753317,2628.52085367994,3034.72147616526,3152.81714712816,3597.48567144321,432.38553954438976,14.968414314769252
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,Rate,159.71662006981,173.81837586185,146.41566791602,161.5946735391,173.04783520208,187.46958378306,14.101755792039995,8.82923504509192
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,Rate,140.13637448919,154.8277927757,127.82426603422,143.48096793808,151.50584110605,166.44526795953,14.691418286510014,10.483658036724286
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,Rate,178.76538134048,194.53919087484,164.86744673192,180.78219500338,194.17287540763,209.11158489036,15.773809534359998,8.82374955155154
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,Rate,0.88272325613,1.4512815362,0.72031603517,0.87854948302,1.1153058308,3.43126729936,0.56855828007,64.40957300282881
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,Rate,0.89648867851,1.461326067,0.73097350319,0.88426398667,1.13431225031,3.47588797934,0.5648373884899999,63.005523887795455
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,Rate,0.86880478848,1.44172638635,0.70910644718,0.87253026596,1.09622176373,3.38817154817,0.5729215978700001,65.94365103262652
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,Rate,158.83389681368,172.36709432565,145.48324601584,160.22382626351,172.26178301309,185.68947553547,13.533197511969973,8.520345961067166
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,Rate,139.23988581068,153.3664667087,127.01624483744,142.03418056679,150.62038853183,165.27312754419,14.126580898019995,10.145498766946304
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,Rate,177.896576552,193.0974644885,164.07483508809,179.4985936259,193.36843484427,207.6089930235,15.20088793650001,8.544789467635837
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,Rate,36.7340733429372,36.2591218551412,27.3282711188992,27.1863195661545,47.84591054786,48.2327397643055,-0.47495148779599816,-1.2929453354165399
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,Rate,32.239005150734,29.045592984283,21.742256687748,19.6269473924978,45.8344271627728,41.6713629125177,-3.193412166451001,-9.905430243644775
