location_name,sex_name,cause_name,measure_name,annual_drift_pct,lower_95,upper_95,p_value
Southern Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,0.9758232505940656,0.9370282047173939,1.0146332073078135,2.9949551274812283e-249
Southern Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,0.002386826035682965,-0.08652553395824825,0.09137830856840168,0.9580701670180742
Southern Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,0.6012676276895945,0.5495752365678008,0.6529865937948465,5.802341201737699e-90
Southern Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,1.3965628030483401,1.2997687269501235,1.4934493679378713,6.97431215345168e-111
Southern Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,0.9767743638320114,0.937939199633453,1.0156244695876282,3.098089957500092e-249
Sub-Saharan Africa,Both,Diabetes mellitus,Deaths,0.3396633462609877,0.29076020424465554,0.3885903341161123,5.204579841969063e-38
Sub-Saharan Africa,Both,Diabetes mellitus,Incidence,0.6586414550487474,0.6344609437453519,0.6828277764605373,1.3621255257797112e-270
Sub-Saharan Africa,Both,Diabetes mellitus type 1,Deaths,-1.8014494170955575,-1.8442309664507106,-1.7586492212463334,0
Sub-Saharan Africa,Both,Diabetes mellitus type 1,Incidence,1.3477342175761242,1.2706620175055416,1.4248650735684487,4.813776650906862e-162
Sub-Saharan Africa,Both,Diabetes mellitus type 2,Deaths,0.4532309989631056,0.4124641358063563,0.4940144132238089,6.238845085946422e-77
Sub-Saharan Africa,Both,Diabetes mellitus type 2,Incidence,0.6540352266354743,0.6307246977035552,0.6773511553174405,7.038832770905431e-279
Sub-Saharan Africa,Female,Diabetes mellitus,Deaths,0.11146591339086243,0.0640745747166882,0.15887969707328864,4.6924030995689525e-6
Sub-Saharan Africa,Female,Diabetes mellitus,Incidence,0.6478999605533442,0.6254632539193228,0.6703416699549214,4.988005761923499e-287
Sub-Saharan Africa,Female,Diabetes mellitus type 1,Deaths,-1.9354144467848444,-1.9739174516995028,-1.896896318534147,0
Sub-Saharan Africa,Female,Diabetes mellitus type 1,Incidence,1.2981365154380198,1.2194948375914505,1.3768392933079188,4.4003766523626455e-150
Sub-Saharan Africa,Female,Diabetes mellitus type 2,Deaths,0.19874495213150212,0.15450353423636098,0.24300591286283701,1.5484963662106844e-17
Sub-Saharan Africa,Female,Diabetes mellitus type 2,Incidence,0.6431782481827852,0.6217599915790517,0.6646010638571953,2.8660863258807974e-298
Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,0.5558228582503544,0.5029878552722522,0.6086856368956006,1.2533319900614806e-75
Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,0.6882080652137468,0.663418051971254,0.713004183402477,6.065866519242345e-276
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,-1.7276151480150825,-1.7759242346727766,-1.679282301725793,0
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,1.3986330087030652,1.3230131571676074,1.4743092971896798,3.0641247885925093e-174
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,0.6966046057129027,0.6565237967208093,0.7367013746367501,3.899314435551051e-139
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,0.6838139245096464,0.6598077368358046,0.707825837378695,3.421031315923488e-283
Western Sub-Saharan Africa,Both,Diabetes mellitus,Deaths,0.40410784918969433,0.35294513542849515,0.45529664712087303,2.5687409151882414e-47
Western Sub-Saharan Africa,Both,Diabetes mellitus,Incidence,0.8551803396860347,0.82611647634665,0.8842525808959945,1.0918854231876337e-292
Western Sub-Saharan Africa,Both,Diabetes mellitus type 1,Deaths,-1.974933673020829,-2.01783773503994,-1.9320108243318312,0
Western Sub-Saharan Africa,Both,Diabetes mellitus type 1,Incidence,0.5491211780803695,0.5076236226575936,0.5906358670005218,2.6212788124671176e-109
Western Sub-Saharan Africa,Both,Diabetes mellitus type 2,Deaths,0.545100519641073,0.5092323056810732,0.580981533706515,6.231851558915468e-118
Western Sub-Saharan Africa,Both,Diabetes mellitus type 2,Incidence,0.8564956564964366,0.827313467229196,0.8856862918894759,5.781024763623891e-292
Western Sub-Saharan Africa,Female,Diabetes mellitus,Deaths,0.08273082169654167,0.039335816042962435,0.1261446512107467,1.9991614466738746e-4
Western Sub-Saharan Africa,Female,Diabetes mellitus,Incidence,0.9114131234259748,0.8884800900779588,0.934351369698394,0
Western Sub-Saharan Africa,Female,Diabetes mellitus type 1,Deaths,-1.9262387495346256,-1.9692489298180682,-1.883209698890731,0
Western Sub-Saharan Africa,Female,Diabetes mellitus type 1,Incidence,0.5202224475480577,0.47685375018875487,0.563609864083392,2.823518460032011e-94
Western Sub-Saharan Africa,Female,Diabetes mellitus type 2,Deaths,0.1908225006258979,0.15746738866369014,0.2241887207313109,1.6851332050157457e-26
Western Sub-Saharan Africa,Female,Diabetes mellitus type 2,Incidence,0.9132274400174945,0.8901995799775131,0.9362605560916615,0
Western Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,0.6960415082573057,0.6377322828239107,0.754384517895601,5.458811336677571e-92
Western Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,0.8438803926887894,0.810907339125011,0.8768642310207131,9.55798795353773e-254
Western Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,-2.006018637129603,-2.05207831881582,-1.9599372960325434,0
Western Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,0.5804514503333191,0.5407462496346049,0.6201723312713403,2.5826987375593186e-126
Western Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,0.867572893785229,0.8299920323664001,0.9051677621588983,5.589413830764688e-190
Western Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,0.8449399899940202,0.811841407127889,0.8780494397997218,4.638652127455918e-253
