location_name,measure_name,cause_name,sex_name,model,rmse,mae,mape,mase,selected
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,ETS,0.2862513237425916,0.2170381949496142,0.08013670937672454,0.17061179556399816,FALSE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,ARIMA,0.31590851012246735,0.2452261407614817,0.10383452862516274,0.20447060398717481,TRUE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,ETS,0.3568806769482915,0.29764625107980247,0.1267066962325682,0.24817871595508517,FALSE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,ARIMA,0.2791279839034796,0.1778800434599481,0.055990708673694996,0.12534862909808098,TRUE
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,ETS,0.4412228687135297,0.30699208635529296,0.09721654171920381,0.21633139063888382,FALSE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Both,ARIMA,7.584594101022251,4.858582726214512,0.08111199063784934,0.13534144884189425,TRUE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Both,ETS,8.225734230615789,5.94476463160529,0.10017712399555453,0.16559830378608786,FALSE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Female,ARIMA,13.282148887932436,8.875357405142639,0.16850930107800843,0.2638357289403251,FALSE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Female,ETS,13.037581696720123,8.431716493272784,0.15977195821009538,0.25064771655638296,TRUE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Male,ARIMA,6.246009035667349,3.7124940890670537,0.05504922182370341,0.09031757994946768,TRUE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Male,ETS,5.916714658308459,4.036899554136174,0.06115097041283182,0.09820971817905003,FALSE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Both,ARIMA,0.008544435827848123,0.007668441876071472,0.04634994036220189,0.09162816210638304,TRUE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Both,ETS,0.009349016323751423,0.007807162931391375,0.04729894319691228,0.09328570291452076,FALSE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Female,ARIMA,0.008465459986826287,0.00760095025538096,0.045884331582417,0.09122254572293674,TRUE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Female,ETS,0.00927190301663486,0.007792934210120781,0.04714061821681294,0.09352663461983819,FALSE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Male,ARIMA,0.008602209162751936,0.007689780046785631,0.04655673378090349,0.091448693555264,TRUE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Male,ETS,0.009680232920445689,0.008213854128557779,0.04980041862546261,0.09768110720203284,FALSE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Both,ARIMA,7.534829137781252,4.804608721357239,0.08039321805903207,0.13415068679404138,TRUE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Both,ETS,8.216454770353028,5.9361057261489085,0.10031082800809794,0.16574349884207934,FALSE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Female,ARIMA,13.286461714656983,8.87554283583392,0.16905550067120473,0.2644963798013011,FALSE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Female,ETS,13.044046760623814,8.467474186895263,0.16097228555138973,0.25233569483238655,TRUE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Male,ARIMA,6.2381842659591555,3.706810950187039,0.05510241397128872,0.09036417893199566,TRUE
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Male,ETS,5.894399244880255,4.0373208561829275,0.06130823649435531,0.09842130854706345,FALSE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Both,ARIMA,1.0969605415955277,0.8166666601170535,0.15135024994210058,0.255030401787952,TRUE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Both,ETS,1.0712270497595675,0.8314543376229632,0.15405057409592876,0.2596483291749991,FALSE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Female,ARIMA,1.2706532595444757,0.9342538445750931,0.19665650772379678,0.31103095644077683,TRUE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Female,ETS,1.359564173818723,1.0040130874393274,0.21144669358439439,0.3342551413393847,FALSE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Male,ARIMA,1.006078951751864,0.7625596671175752,0.1243647235258602,0.20435858148226005,FALSE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Male,ETS,0.9287919976895879,0.6793458990370207,0.11063010514291627,0.1820581001717085,TRUE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Both,ARIMA,0.006828333583777053,0.005673692828715011,0.4316713959479323,0.9125092945891579,FALSE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Both,ETS,0.006692168318952654,0.0052687213618655086,0.40269596407089087,0.8473770714146315,TRUE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Female,ARIMA,0.00778630040722457,0.006133818811184635,0.466503456796626,0.8209664700180327,TRUE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Female,ETS,0.008322501995661173,0.006819429825622418,0.5208019143240703,0.9127304545201707,FALSE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Male,ARIMA,0.008921587404606076,0.0069104057542661,0.5205236678497653,0.905614536492216,FALSE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Male,ETS,0.009025801266779966,0.0068011352721439175,0.5148349920629537,0.8912945471112349,TRUE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Both,ARIMA,1.0970581382943856,0.8173708421274665,0.15186270656382106,0.25571085544105865,TRUE
