location_name,measure_name,cause_name,sex_name,metric_name,value_1990,value_2023,lower_1990,lower_2023,upper_1990,upper_2023,absolute_change,relative_change_pct
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Both,Number,186837.395424756,207201.810717154,128243.222081557,144938.378763196,260041.804759459,288796.124711178,20364.415292398015,10.899539273763459
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Female,Number,67913.2247515784,71287.3359638512,42596.6551931698,46463.0184437612,102671.544488368,108871.175272539,3374.111212272808,4.968268293274347
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,Number,118924.170673177,135914.474753303,74636.0293777837,88953.4285631533,181900.05388679,207923.839545946,16990.304080125992,14.286670223514196
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,Number,942037.567848892,2412437.60793449,745372.919020369,1918530.88526456,1177059.28756057,2887612.42923865,1470400.040085598,156.08719760966667
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,Number,419340.911496761,1046693.47602843,309141.828130168,762214.896962194,566450.635673603,1348660.29878892,627352.564531669,149.60442621552193
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,Number,522696.65635213,1365744.13190607,376246.163640539,1006903.06555512,723980.064253382,1814262.35780507,843047.47555394,161.2880942146292
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Both,Number,889106.58038239,1898967.03239563,680730.877467494,1466179.1151718,1139876.09849558,2477864.96055783,1009860.45201324,113.58148441314154
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Female,Number,373321.255011718,763368.34980423,266945.182534778,525301.251862267,521644.916254496,1078000.63640035,390047.094792512,104.4802806045075
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Male,Number,515785.325370673,1135598.6825914,362151.215366566,786922.227156205,741425.412578648,1612752.97988074,619813.3572207271,120.1688622636353
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Both,Number,184281.991272062,198286.416780897,126195.745146503,135923.466694816,258077.981772716,276266.542246244,14004.425508835004,7.599454190919697
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Female,Number,66583.989036087,66651.1461669516,41203.4931474917,42116.4963764799,101274.259557644,103718.609250872,67.15713086459436,0.10086078025184353
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Male,Number,117698.002235975,131635.270613945,73677.5887327874,85338.8766187916,180655.784286442,203481.201169866,13937.268377970002,11.84155050484792
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Both,Number,704824.589110328,1700680.61561473,528038.16323523,1290300.12758528,935204.102759139,2248415.56658936,995856.0265044019,141.29132863560153
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Female,Number,306737.265975631,696717.203637279,204603.941234515,473445.098909852,438752.636075173,985750.990631231,389979.937661648,127.13810186096862
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Male,Number,398087.323134698,1003963.41197745,252362.188065186,676086.380796275,583001.35134032,1441269.85076286,605876.088842752,152.19678036262061
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Both,Number,239768.382891257,720672.38625602,165113.019329843,497290.256485775,327987.088984566,978449.117714133,480904.00336476305,200.5702326410856
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Female,Number,113932.881236622,354612.462188048,79750.5729895303,247105.290696193,155568.899941964,478118.112976609,240679.580951426,211.24681333351836
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Male,Number,125835.501654635,366059.924067972,86133.6039222573,250743.540430034,171921.087118213,500582.369851795,240224.422413337,190.90353616791788
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Both,Number,2555.40415269429,8915.39393625691,1538.86835532967,5470.76333640483,4263.02504695989,13829.0376682112,6359.989783562621,248.883910470951
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Female,Number,1329.2357154914,4636.18979689943,800.975691314517,2875.4214037469,2226.18524144356,7117.24567206,3306.95408140803,248.78612896626052
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Male,Number,1226.16843720289,4279.20413935748,739.358441044337,2576.62770920423,2034.48231641741,6685.95822036271,3053.03570215459,248.98991113481213
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Both,Number,237212.978738563,711756.992319762,163421.925950117,491405.981413547,324578.296065542,967060.24967164,474544.013581199,200.0497679784221
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Female,Number,112603.64552113,349976.272391149,78914.5617956429,244002.324470969,154042.574789957,472422.961282092,237372.626870019,210.80367848790135
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Male,Number,124609.333217432,361780.719928614,85223.3901377768,248159.659544381,170208.375926533,495023.701911753,237171.38671118199,190.3319603655526
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Both,Number,1674679.59358386,4977564.6066954,1504646.06582141,4494949.24864994,1837905.90311817,5425244.4219647,3302885.0131115397,197.22489160110177
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Female,Number,850584.95222187706,2468788.90973888,765527.408455966,2238107.95571432,930330.202714687,2685818.10340978,1618203.9575170032,190.24601285150538
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Male,Number,824094.641361981,2508775.69695651,737300.682205435,2269551.06061789,905056.49099789,2750280.40090984,1684681.055594529,204.42810461796682
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Both,Number,6594.57039852181,15032.1618483526,4650.83829476296,12545.8134791894,8713.32778184005,18789.7088370331,8437.59144983079,127.94755290992268
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Female,Number,3459.21714466832,7836.7054874555,2435.24091309787,6549.71537063396,4572.15257336868,9802.91773062132,4377.488342787179,126.54563618633156
