location_name,measure_name,cause_name,sex_name,selected_model,year,forecast,lower_95,upper_95
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,ARIMA,2025,1017.5576006126212,992.4806807617656,1042.6345204634767
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,ARIMA,2026,1021.0747894673518,990.3619604897186,1051.7876184449851
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,ARIMA,2027,1024.5919783220825,989.1278581664595,1060.0560984777055
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,ARIMA,2028,1028.1091671768131,988.4590754617165,1067.75925889191
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,ARIMA,2029,1031.6263560315438,988.1918567525295,1075.060855310558
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,ARIMA,2030,1035.1435448862744,988.2289236875285,1082.0581660850203
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,ETS,2024,1743.0842813122442,1724.3944470516853,1761.774115572803
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,ETS,2025,1740.6103027342876,1714.1867050252595,1767.0339004433158
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,ETS,2026,1738.136324156331,1699.6203313624385,1776.6523169502236
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,ETS,2027,1735.6623455783745,1682.0072799248965,1789.3174112318525
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,ETS,2028,1733.1883670004179,1662.0714031048976,1804.3053308959381
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,ETS,2029,1730.7143884224613,1640.2016261112649,1821.2271507336577
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,ETS,2030,1728.240409844505,1616.633733471566,1839.8470862174438
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,ETS,2024,32.92512020331673,32.319446989055805,33.530793417577655
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,ETS,2025,31.94737685792841,30.94772835759316,32.947025358263666
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,ETS,2026,30.969633512540096,29.416686635641568,32.52258038943862
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,ETS,2027,29.991890167151777,27.781818017718408,32.201962316585146
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,ETS,2028,29.014146821763457,26.067840735273098,31.960452908253817
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,ETS,2029,28.03640347637514,24.2884849442441,31.784322008506177
